COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,VIEW_COUNT,LIKES_RATIO
FR,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,169274664,6.91
GB,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,154134590,7.36
IN,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,161848202,7.13
JP,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,169274664,6.91
KR,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,192376395,6.33
MX,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,176014411,6.73
RU,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,124097287,8.49
US,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,154134590,7.36
BR,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,99208622,4.07
CA,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,99208622,4.07
DE,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,99208622,4.07
FR,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,104017073,3.99
GB,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,104017073,3.99
IN,2021-10-01,Insaniyat shayad ab bachho me he rah gai hai 😭😭#emotinalstory #sadstory #stories #heroindori,Heroindori,74239290,5.59
JP,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,114925848,3.79
KR,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,114925848,3.79
MX,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,111662438,3.85
RU,2021-10-01,Img it popped!! #Shorts,Romina Gafur,68318786,4.14
US,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,128930039,3.55
BR,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,50965769,4.18
CA,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,122021654,8.42
DE,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,122021654,8.42
FR,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,46740014,4.38
GB,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,122021654,8.42
IN,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,122021654,8.42
JP,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,58792578,3.86
KR,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,60701406,3.79
MX,2021-11-01,"DJ Snake, Ozuna, Megan Thee Stallion, LISA of BLACKPINK - SG (Official Music Video)",DJSnakeVEVO,54526245,6.70
RU,2021-11-01,Exercise Ball Racing Is AWESOME 🔴🟡,How Ridiculous,103289157,3.69
US,2021-11-01,Adele - Easy On Me (Official Video),AdeleVEVO,139547582,3.38
BR,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,39488198,2.86
CA,2021-12-01,"$456,000 Squid Game In Real Life!",MrBeast,137068663,7.97
DE,2021-12-01,"$456,000 Squid Game In Real Life!",MrBeast,130743617,8.15
FR,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,39488198,2.86
GB,2021-12-01,"$456,000 Squid Game In Real Life!",MrBeast,137068663,7.97
IN,2021-12-01,"$456,000 Squid Game In Real Life!",MrBeast,130743617,8.15
JP,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,42856726,2.81
KR,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,42549295,2.82
MX,2021-12-01,Google — Year In Search 2021,Google,71513525,0.20
RU,2021-12-01,😱OMG😱 BEST TEACHER,dednahype,158330370,5.23
US,2021-12-01,"$456,000 Squid Game In Real Life!",MrBeast,137068663,7.97
BR,2022-01-01,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,51873027,1.17
CA,2022-01-01,DIY hands cast #Shorts,Wood Mood,85006005,3.30
DE,2022-01-01,Balloon Pop Racing Is INTENSE!! 🎈,How Ridiculous,107927053,3.67
FR,2022-01-01,We Don't Talk About Bruno (From Encanto),DisneyMusicVEVO,33862057,1.96
GB,2022-01-01,Diver Cracks Egg at 45 ft Deep #Shorts,Shanger Danger,47397141,5.82
IN,2022-01-01,Ghareeb Baap aur Khilone Wala || Emotional Video || #shorts,Peep Peep,87847902,2.66
JP,2022-01-01,Kep1er 케플러 | ‘WA DA DA’ M/V,Kep1er,34418748,3.85
KR,2022-01-01,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,90978675,0.69
MX,2022-01-01,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,68204276,0.90
RU,2022-01-01,Balloon Pop Racing Is INTENSE!! 🎈,How Ridiculous,91248098,3.82
US,2022-01-01,He went against a pro and came up clutch 👏🔥 | #shorts,SportsNation,42093658,4.36
